SV001,Pham Minh Quan,KTPM1,Nam,4.0,80,23,Không có
SV0010,Quân,CNTT1,Nam,4.0,22,22,Không có
SV002,Trần Thị B,CNTT1,Nữ,3.9,85,22,Không có
SV003,Lê Văn C,CNTT2,Nam,3.7,92,19,Không có
SV004,Phạm Minh D,CNTT2,Nam,3.55,88,20,Không có
SV005,Hoàng Lan E,ATTT,Nữ,3.1,82,18,Không có
SV006,Vũ Hoàng A,ATTT,Nam,2.4,90,20,Không có
SV008,Nguyen Dang Duong,KTPM2,Nam,3.9,88,20,Không có
SV009,abc,CNTT1,Nam,2.44,100,20,Không có
SV011,Thành,CNTT2,Nam,3.0,66,43,Không có
SV016,Quân,CNTT2,Nam,4.0,100,23,Không có
SV123,Phạm Quân,KTMP2,Nam,3.0,49,20,Không có
